time,voltage,
104.9999967E-3,3.85999990,
105.0399989E-3,3.85999990,
105.0800011E-3,3.89999986,
105.1199958E-3,3.89999986,
105.1599979E-3,3.91999984,
105.2000001E-3,3.91999984,
105.2400023E-3,3.91999984,
105.2799970E-3,3.91999984,
105.3199992E-3,3.93999982,
105.3600013E-3,3.93999982,
105.3999960E-3,3.95999980,
105.4399982E-3,3.98000002,
105.4800004E-3,3.98000002,
105.5199951E-3,3.98000002,
105.5599973E-3,3.98000002,
105.5999994E-3,3.98000002,
105.6400016E-3,3.98000002,
105.6799963E-3,4.00000000,
105.7199985E-3,3.98000002,
105.7600006E-3,4.00000000,
105.7999954E-3,4.00000000,
105.8399975E-3,4.00000000,
105.8799997E-3,4.00000000,
105.9200019E-3,4.00000000,
105.9599966E-3,4.00000000,
105.9999987E-3,3.98000002,
106.0400009E-3,4.00000000,
106.0799956E-3,4.00000000,
106.1199978E-3,4.00000000,
106.1600000E-3,3.98000002,
106.2000021E-3,3.98000002,
106.2399969E-3,3.98000002,
106.2799990E-3,3.98000002,
106.3200012E-3,3.98000002,
106.3599959E-3,3.98000002,
106.3999981E-3,3.95999980,
106.4400002E-3,3.95999980,
106.4799950E-3,3.93999982,
106.5199971E-3,3.95999980,
106.5599993E-3,3.93999982,
106.6000015E-3,3.93999982,
106.6399962E-3,3.93999982,
106.6799983E-3,3.89999986,
106.7200005E-3,3.87999988,
106.7599952E-3,3.89999986,
106.7999974E-3,3.89999986,
106.8399996E-3,3.85999990,
106.8800017E-3,3.85999990,
106.9199964E-3,3.85999990,
106.9599986E-3,3.83999991,
107.0000008E-3,3.83999991,
107.0399955E-3,3.81999993,
107.0799977E-3,3.81999993,
107.1199998E-3,3.79999995,
107.1600020E-3,3.77999997,
107.1999967E-3,3.77999997,
107.2399989E-3,3.77999997,
107.2800010E-3,3.75999999,
107.3199958E-3,3.74000001,
107.3599979E-3,3.74000001,
107.4000001E-3,3.69999981,
107.4400023E-3,3.69999981,
107.4799970E-3,3.69999981,
107.5199991E-3,3.67999983,
107.5600013E-3,3.67999983,
107.5999960E-3,3.65999985,
107.6399982E-3,3.65999985,
107.6800004E-3,3.63999987,
107.7199951E-3,3.63999987,
107.7599972E-3,3.61999989,
107.7999994E-3,3.63999987,
107.8400016E-3,3.63999987,
107.8799963E-3,3.61999989,
107.9199985E-3,3.61999989,
107.9600006E-3,3.61999989,
107.9999954E-3,3.59999990,
108.0399975E-3,3.59999990,
108.0799997E-3,3.59999990,
108.1200019E-3,3.59999990,
108.1599966E-3,3.59999990,
108.1999987E-3,3.59999990,
108.2400009E-3,3.59999990,
108.2799956E-3,3.59999990,
108.3199978E-3,3.59999990,
108.3600000E-3,3.61999989,
108.4000021E-3,3.61999989,
108.4399968E-3,3.63999987,
108.4799990E-3,3.63999987,
108.5200012E-3,3.65999985,
108.5599959E-3,3.63999987,
108.5999981E-3,3.63999987,
108.6400002E-3,3.67999983,
108.6799949E-3,3.67999983,
108.7199971E-3,3.67999983,
108.7599993E-3,3.69999981,
108.8000014E-3,3.72000003,
108.8399962E-3,3.72000003,
108.8799983E-3,3.72000003,
108.9200005E-3,3.74000001,
108.9599952E-3,3.74000001,
108.9999974E-3,3.74000001,
109.0399995E-3,3.75999999,
109.0800017E-3,3.79999995,
109.1199964E-3,3.79999995,
109.1599986E-3,3.81999993,
109.2000008E-3,3.79999995,
109.2399955E-3,3.81999993,
109.2799976E-3,3.83999991,
109.3199998E-3,3.83999991,
109.3600020E-3,3.83999991,
109.3999967E-3,3.87999988,
109.4399989E-3,3.89999986,
109.4800010E-3,3.89999986,
109.5199957E-3,3.89999986,
109.5599979E-3,3.93999982,
109.6000001E-3,3.93999982,
109.6400023E-3,3.93999982,
109.6799970E-3,3.95999980,
109.7199991E-3,3.95999980,
109.7600013E-3,3.98000002,
109.7999960E-3,3.95999980,
109.8399982E-3,4.00000000,
109.8800004E-3,4.00000000,
109.9199951E-3,4.00000000,
109.9599972E-3,4.00000000,
109.9999994E-3,4.01999998,
110.0400016E-3,4.03999996,
110.0799963E-3,4.03999996,
110.1199985E-3,4.03999996,
110.1600006E-3,4.03999996,
110.1999953E-3,4.07999992,
110.2399975E-3,4.07999992,
110.2799997E-3,4.07999992,
110.3200018E-3,4.07999992,
110.3599966E-3,4.09999990,
110.3999987E-3,4.09999990,
110.4400009E-3,4.11999989,
110.4799956E-3,4.11999989,
110.5199978E-3,4.11999989,
110.5599999E-3,4.13999987,
110.6000021E-3,4.13999987,
110.6399968E-3,4.15999985,
110.6799990E-3,4.15999985,
110.7200012E-3,4.11999989,
110.7599959E-3,4.13999987,
110.7999980E-3,4.15999985,
110.8400002E-3,4.15999985,
110.8799949E-3,4.17999983,
110.9199971E-3,4.17999983,
110.9599993E-3,4.17999983,
111.0000014E-3,4.17999983,
111.0399961E-3,4.19999981,
111.0799983E-3,4.17999983,
111.1200005E-3,4.19999981,
111.1599952E-3,4.19999981,
111.1999974E-3,4.19999981,
111.2399995E-3,4.17999983,
111.2800017E-3,4.17999983,
111.3199964E-3,4.19999981,
111.3599986E-3,4.19999981,
111.4000008E-3,4.21999979,
111.4399955E-3,4.21999979,
111.4799976E-3,4.21999979,
111.5199998E-3,4.21999979,
111.5600020E-3,4.25999975,
111.5999967E-3,4.23999977,
111.6399989E-3,4.23999977,
111.6800010E-3,4.23999977,
111.7199957E-3,4.25999975,
111.7599979E-3,4.23999977,
111.8000001E-3,4.25999975,
111.8399948E-3,4.23999977,
111.8799970E-3,4.27999973,
111.9199991E-3,4.25999975,
111.9600013E-3,4.25999975,
111.9999960E-3,4.25999975,
112.0399982E-3,4.25999975,
112.0800003E-3,4.27999973,
112.1199951E-3,4.25999975,
112.1599972E-3,4.25999975,
112.1999994E-3,4.27999973,
112.2400016E-3,4.25999975,
112.2799963E-3,4.27999973,
112.3199984E-3,4.27999973,
112.3600006E-3,4.27999973,
112.3999953E-3,4.25999975,
112.4399975E-3,4.27999973,
112.4799997E-3,4.27999973,
112.5200018E-3,4.27999973,
112.5599965E-3,4.27999973,
112.5999987E-3,4.27999973,
112.6400009E-3,4.27999973,
112.6799956E-3,4.27999973,
112.7199978E-3,4.25999975,
112.7599999E-3,4.29999971,
112.8000021E-3,4.29999971,
112.8399968E-3,4.29999971,
112.8799990E-3,4.27999973,
112.9200011E-3,4.27999973,
112.9599959E-3,4.29999971,
112.9999980E-3,4.31999969,
113.0400002E-3,4.29999971,
113.0799949E-3,4.29999971,
113.1199971E-3,4.29999971,
113.1599993E-3,4.27999973,
113.2000014E-3,4.31999969,
113.2399961E-3,4.29999971,
113.2799983E-3,4.29999971,
113.3200005E-3,4.29999971,
113.3599952E-3,4.31999969,
113.3999974E-3,4.29999971,
113.4399995E-3,4.31999969,
113.4800017E-3,4.29999971,
113.5199964E-3,4.33999968,
113.5599986E-3,4.29999971,
113.6000007E-3,4.33999968,
113.6399955E-3,4.31999969,
113.6799976E-3,4.31999969,
113.7199998E-3,4.29999971,
113.7600020E-3,4.29999971,
113.7999967E-3,4.29999971,
113.8399988E-3,4.33999968,
113.8800010E-3,4.33999968,
113.9199957E-3,4.33999968,
113.9599979E-3,4.31999969,
114.0000001E-3,4.31999969,
114.0399948E-3,4.29999971,
114.0799969E-3,4.31999969,
114.1199991E-3,4.33999968,
114.1600013E-3,4.33999968,
114.1999960E-3,4.31999969,
114.2399982E-3,4.31999969,
114.2800003E-3,4.33999968,
114.3199950E-3,4.31999969,
114.3599972E-3,4.31999969,
114.3999994E-3,4.33999968,
114.4400015E-3,4.33999968,
114.4799963E-3,4.33999968,
114.5199984E-3,4.33999968,
114.5600006E-3,4.31999969,
114.5999953E-3,4.33999968,
114.6399975E-3,4.33999968,
114.6799996E-3,4.33999968,
114.7200018E-3,4.36000013,
114.7599965E-3,4.33999968,
114.7999987E-3,4.33999968,
114.8400009E-3,4.36000013,
114.8799956E-3,4.33999968,
114.9199978E-3,4.36000013,
114.9599999E-3,4.33999968,
